id,type,name,context,affects,becomings,lines_of_flight
# PERSONS - Primary/Extraction
farmer,person,The Farmer,200-acre grain operation Midwest US,silence|cyclical-time|soil-smell|dawn-rhythm,becoming-patient|becoming-weather-attuned|becoming-tool,code-as-tending|deployment-as-harvest
rancher,person,The Rancher,Cattle ranch Wyoming,animal-presence|fence-horizon|dust-smell|solitude,becoming-herd-thinker|becoming-patient|becoming-weather-reader,thought-as-range|life-as-husbandry
fisherman,person,The Fisherman,Commercial fishing boat Maine,salt-spray|net-weight|tide-rhythm|danger,becoming-sea-reader|becoming-early|becoming-patient,code-as-net|harvest-from-depths
logger,person,The Logger,Timber operation Pacific Northwest,chainsaw-roar|wood-smell|physical-danger|camp-isolation,becoming-cutter|becoming-precise|becoming-strong,the-fall-as-logic|clearing-as-creation
miner,person,The Miner,Coal mine Appalachia,darkness|dust-lung|solidarity|danger,becoming-underground|becoming-collective|becoming-careful,depth-as-knowledge|extraction-as-life
oilfield_worker,person,The Oilfield Worker,Drilling rig Texas,machine-noise|mud-smell|shift-rhythm|danger,becoming-machine-part|becoming-endurance|becoming-team,pressure-as-logic|the-gush-as-reward

# PERSONS - Processing/Manufacturing
factory_worker,person,The Factory Worker,Auto assembly line Detroit,machine-rhythm|repetition|collective-labor|noise,becoming-paced|becoming-synchronized|becoming-anonymous,code-as-assembly|the-beauty-of-the-line
slaughterhouse_worker,person,The Slaughterhouse Worker,Meat processing plant,blood-smell|cold|speed|desensitization,becoming-numb|becoming-fast|becoming-efficient,the-cut-as-routine|life-as-commodity
textile_worker,person,The Textile Worker,Garment factory Bangladesh,machine-hum|fabric-dust|speed|low-light,becoming-fast|becoming-precise|becoming-invisible,thread-as-connection|the-beauty-of-the-seam
welder,person,The Welder,Shipyard construction,arc-brightness|heat|mask-isolation|precision,becoming-focused|becoming-heat-resistant|becoming-precise,joining-as-creation|the-bead-as-signature
baker,person,The Baker,Commercial bakery 3am shift,yeast-smell|heat|early-hours|repetition,becoming-early|becoming-patient|becoming-rhythmic,rising-as-logic|the-crust-as-completion

# PERSONS - Transport/Logistics
trucker,person,The Long-Haul Trucker,Cross-country freight owner-operator,solitude|highway-hypnosis|caffeine-edge|debt-weight,becoming-road|becoming-isolated|becoming-endurance,thought-as-miles|the-pleasure-of-the-endless
train_driver,person,The Train Driver,Freight rail cross-country,signal-watching|isolation|schedule-pressure|monotony,becoming-scheduled|becoming-patient|becoming-vigilant,track-as-destiny|the-weight-behind
postal_worker,person,The Postal Worker,Mail carrier suburban route,weather-exposure|dog-encounters|routine|neighborhood-knowledge,becoming-known|becoming-reliable|becoming-weathered,delivery-as-connection|the-route-as-home
courier,person,The Bike Courier,Urban package delivery,traffic-danger|speed|physical-exhaustion|independence,becoming-fast|becoming-urban|becoming-invisible,city-as-grid|the-package-as-purpose
ship_captain,person,The Ship Captain,Container vessel Pacific crossing,horizon-watching|crew-responsibility|isolation|time-zones,becoming-responsible|becoming-patient|becoming-navigator,ocean-as-office|cargo-as-world

# PERSONS - Service/Care
nurse,person,The Nurse,Hospital night shift ICU,beep-rhythm|body-fluids|life-death-edge|exhaustion,becoming-vigilant|becoming-gentle|becoming-strong,care-as-code|the-body-as-territory
health_aide,person,The Home Health Aide,Eldercare private homes,body-weight|intimacy-with-stranger|dignity-labor|low-wage-pressure,becoming-gentle|becoming-invisible|becoming-essential,care-as-code|the-sacred-in-the-banal
teacher,person,The Teacher,Public school inner city,noise|attention-fragmentation|hope|exhaustion,becoming-patient|becoming-loud|becoming-strategic,knowledge-as-gift|the-classroom-as-world
janitor,person,The Janitor,Office building night shift,solitude|chemical-smell|invisibility|rhythm,becoming-invisible|becoming-thorough|becoming-nocturnal,cleaning-as-meditation|the-building-as-body
cook,person,The Short-Order Cook,24-hour diner highway exit,speed|grease-heat|order-ticker-rhythm|night-silence,becoming-fast|becoming-heat-tolerant|becoming-anonymous,input-output-purity|the-beauty-of-the-rush
barista,person,The Barista,Coffee shop urban,steam-hiss|customer-faces|repetition|performance,becoming-performer|becoming-fast|becoming-pleasant,ritual-as-service|the-cup-as-connection
hairstylist,person,The Hairstylist,Neighborhood salon,touch-intimacy|conversation|transformation|standing,becoming-listener|becoming-transformer|becoming-trusted,the-cut-as-identity|touch-as-knowledge

# PERSONS - Technical/Specialist
electrician,person,The Electrician,Residential contractor suburban,wire-color|danger|code-compliance|diagnosis,becoming-systematic|becoming-careful|becoming-diagnostic,current-as-logic|the-circuit-as-puzzle
plumber,person,The Plumber,Service calls residential,water-flow|pipe-dark|problem-solving|crawlspace,becoming-problem-solver|becoming-patient|becoming-dirty,flow-as-logic|the-joint-as-seal
mechanic,person,The Auto Mechanic,Independent garage small town,oil-smell|engine-sounds|diagnosis|customer-trust,becoming-listener|becoming-diagnostic|becoming-trusted,engine-as-body|the-fix-as-satisfaction
hvac_tech,person,The HVAC Technician,Service calls residential,temperature|attic-heat|seasonal-demand|diagnosis,becoming-diagnostic|becoming-weather-aware|becoming-patient,climate-as-control|comfort-as-product
surveyor,person,The Surveyor,Land surveying rural,precision|sun-exposure|walking|measurement,becoming-precise|becoming-patient|becoming-observer,land-as-number|boundary-as-meaning

# PERSONS - Symbolic/Clerical
clerk,person,The Government Clerk,DMV county office,queue-time|form-repetition|bureaucratic-patience|public-frustration,becoming-procedure|becoming-gatekeeper|becoming-invisible,structure-as-care|the-poetry-of-the-form
librarian,person,The Librarian,Public library small city,silence|book-dust|knowledge-navigation|community,becoming-quiet|becoming-helpful|becoming-organized,catalog-as-world|the-book-as-portal
data_entry,person,The Data Entry Worker,Insurance company back office,keystroke-rhythm|screen-glare|accuracy-pressure|monotony,becoming-fast|becoming-accurate|becoming-numb,data-as-reality|the-field-as-world
call_center,person,The Call Center Operator,Customer service cubicle farm,headset-weight|script-following|de-escalation|surveillance,becoming-calm|becoming-scripted|becoming-patient,voice-as-interface|the-call-as-unit
tax_preparer,person,The Tax Preparer,Seasonal H&R Block,number-focus|deadline-pressure|client-anxiety|seasonal,becoming-seasonal|becoming-precise|becoming-patient,form-as-life|the-refund-as-joy

# PERSONS - Precarious/Crisis
